f_ghz,gain_imb_db,phase_imb_deg,cm_leak_dbc
1.258925409999999978e+01,0.000000000000000000e+00,-9.999999406318238471e-08,-2.981753985600000192e+02
1.288249549999999921e+01,0.000000000000000000e+00,-4.000000046744389692e-07,-3.001381428200000414e+02
1.318256739999999994e+01,0.000000000000000000e+00,-1.999999881263647694e-07,-3.017519187099999840e+02
1.348962880000000020e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.962188834499999643e+02
1.380384259999999941e+01,0.000000000000000000e+00,3.000000106112565845e-07,-3.017371257199999945e+02
1.412537539999999936e+01,0.000000000000000000e+00,-4.999999987376213539e-07,-2.974825556099999631e+02
1.445439769999999946e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.007221856300000127e+02
1.479108390000000028e+01,0.000000000000000000e+00,-2.000000165480741998e-07,-2.975685726600000294e+02
1.513561250000000058e+01,0.000000000000000000e+00,4.999999987376213539e-07,-3.002185679399999572e+02
1.548816620000000022e+01,0.000000000000000000e+00,1.999999881263647694e-07,-2.943564000700000065e+02
1.584893190000000018e+01,0.000000000000000000e+00,4.999999987376213539e-07,-2.990687649399999941e+02
1.621810100000000077e+01,0.000000000000000000e+00,1.000000224848918151e-07,-2.938469447499999774e+02
1.659586910000000159e+01,0.000000000000000000e+00,4.000000046744389692e-07,-2.954023589600000150e+02
1.698243649999999860e+01,0.000000000000000000e+00,-4.999999987376213539e-07,-2.998566712800000005e+02
1.737800830000000119e+01,0.000000000000000000e+00,9.999999406318238471e-08,-2.969751196400000026e+02
1.778279410000000027e+01,0.000000000000000000e+00,4.999999987376213539e-07,-2.967671371700000122e+02
1.819700860000000020e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.982984691699999757e+02
1.862087139999999863e+01,0.000000000000000000e+00,-3.000000106112565845e-07,-2.967412891100000252e+02
1.905460719999999952e+01,0.000000000000000000e+00,9.999999406318238471e-08,-2.997933185699999967e+02
1.949844600000000128e+01,0.000000000000000000e+00,-4.999999987376213539e-07,-2.966004062499999918e+02
1.995262310000000028e+01,0.000000000000000000e+00,2.000000165480741998e-07,-2.993166999100000112e+02
2.041737940000000151e+01,0.000000000000000000e+00,-4.000000046744389692e-07,-2.976397034000000303e+02
2.089296129999999962e+01,0.000000000000000000e+00,1.999999881263647694e-07,-2.950843875900000057e+02
2.137962089999999904e+01,0.000000000000000000e+00,2.999999821895471541e-07,-2.962221043900000268e+02
2.187761619999999851e+01,0.000000000000000000e+00,4.999999987376213539e-07,-2.991199806799999692e+02
2.238721140000000176e+01,0.000000000000000000e+00,-3.000000106112565845e-07,-2.967798603600000433e+02
2.290867649999999855e+01,0.000000000000000000e+00,3.000000106112565845e-07,-2.992120392499999753e+02
2.344228820000000013e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.920072181499999715e+02
2.398832919999999902e+01,0.000000000000000000e+00,4.000000046744389692e-07,-2.967193377700000383e+02
2.454708919999999850e+01,0.000000000000000000e+00,4.000000046744389692e-07,-2.969288027599999964e+02
2.511886429999999848e+01,0.000000000000000000e+00,-3.000000106112565845e-07,-2.998840756499999998e+02
2.570395780000000130e+01,0.000000000000000000e+00,9.999999406318238471e-08,-2.930151638699999808e+02
2.630267990000000111e+01,0.000000000000000000e+00,4.999999987376213539e-07,-2.989474927599999887e+02
2.691534800000000160e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.932131165099999635e+02
2.754228700000000174e+01,0.000000000000000000e+00,-4.000000046744389692e-07,-2.935676771999999914e+02
2.818382929999999931e+01,0.000000000000000000e+00,-3.000000106112565845e-07,-2.997265107900000203e+02
2.884031500000000037e+01,0.000000000000000000e+00,-4.000000046744389692e-07,-2.959158311099999992e+02
2.951209229999999906e+01,0.000000000000000000e+00,-3.000000106112565845e-07,-2.931081898900000056e+02
3.019951719999999895e+01,0.000000000000000000e+00,-4.999999987376213539e-07,-2.976122677199999771e+02
3.090295430000000110e+01,0.000000000000000000e+00,-2.999999821895471541e-07,-2.971353731099999891e+02
3.162277660000000168e+01,0.000000000000000000e+00,3.000000106112565845e-07,-2.967859074899999996e+02
3.235936569999999790e+01,0.000000000000000000e+00,-9.999999406318238471e-08,-2.961833422199999859e+02
